N,Sect,Year,Mo,Da,Ho,Mi,Se,EpicentralArea,MainRef,TLDef,LatDef,LonDef,DepDef,IoDef,TIoDef,MwDef,ErMwDef,TMwDef,RefM,MdpN,Imax,LatM,LonM,ErrLatM,ErrLonM,TepiM,Io,MwM,ErMwM,TMwM,RefIns,LatIns,LonIns,DepIns,MwIns,ErMwIns,TMwIns,RefMwIns,EqID,CPTI11id
484,MA,1655,03,25,,,,Appennino forlivese,AMGNDT995,MM,44.060,11.842,,6,bx,4.63,0.46,Mdm,AMGNDT995,1,6,44.060,11.842,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16550325_0000_000,378
485,MA,1656,06,,,,,Cosenza,CAMAL011b,MM,39.303,16.252,,7-8,bx,5.33,0.46,Mdm,CAMAL011b,1,7-8,39.303,16.252,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,16560600_0000_000,379
486,MA,1656,10,17,,,,Gargano,CAMAL011b,MM,41.706,15.959,,5,bx,4.16,0.46,Mdm,CAMAL011b,2,HF,41.706,15.959,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16561017_0000_000,
487,MA,1657,01,29,02,,,Capitanata,CAMAL011b,MM,41.726,15.393,,8-9,bx,5.96,0.15,Mdm,CAMAL011b,12,9-10,41.726,15.393,3.4,19.3,bx0,8-9,5.96,0.15,bxn,,,,,,,,,16570129_0000_000,380
488,MA,1659,11,05,22,15,,Calabria centrale,CFTI4med,MM,38.694,16.249,,10,bx,6.57,0.10,Mdm,CFTI4med,126,10,38.694,16.249,0.9,4.4,bx0,10,6.57,0.10,bxn,,,,,,,,,16591105_2215_000,381
489,MA,1661,02,25,01,30,,Palermo,MOLAL008,MM,38.115,13.362,,5,bx,4.16,0.46,Mdm,MOLAL008,1,5,38.115,13.362,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16610225_0130_000,382
490,MA,1661,03,12,,,,Prealpi bergamasche,STAL008,MM,45.705,9.799,,6-7,bx,4.86,0.46,Mdm,STAL008,4,D,45.705,9.799,3.2,5.8,bx0,6-7,4.86,0.46,bxi,,,,,,,,,16610312_0000_000,383
491,MA,1661,03,21,23,,,Modenese,CFTI4med,MM,44.734,10.863,,6-7,bx,4.86,0.46,Mdm,CFTI4med,4,6-7,44.734,10.863,4.9,3.5,bx0,6-7,4.86,0.46,bxi,,,,,,,,,16610321_2300_000,384
492,MA,1661,03,22,12,50,,Appennino forlivese,CFTI4med,MM,44.021,11.898,,9,bx,6.05,0.12,Mdm,CFTI4med,79,10,44.021,11.898,2.2,2.3,bx0,9,6.05,0.12,bxn,,,,,,,,,16610322_1250_000,385
493,MA,1662,12,29,,,,Padova,CAMAL012,MM,45.407,11.875,,5,bx,4.16,0.46,Mdm,CAMAL012,1,5,45.407,11.875,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16621229_0000_000,
494,MA,1666,04,14,18,58,,Bolognese,CFTI4med,MM,44.639,11.114,,5,bx,4.16,0.46,Mdm,CFTI4med,3,6,44.639,11.114,16.1,18.1,bx0,5,4.16,0.46,bxi,,,,,,,,,16660414_1858_000,386
495,MA,1667,,,,,,Spoleto,AMGNDT995,MM,42.736,12.737,,7,bx,5.10,0.46,Mdm,AMGNDT995,1,7,42.736,12.737,,,bx0,7,5.10,0.46,bxi,,,,,,,,,16670000_0000_000,387
496,MA,1668,08,22,,,,Alta Valtiberina,CFTI4med,MM,43.514,12.190,,5,bx,4.16,0.46,Mdm,CFTI4med,2,6,43.514,12.190,6.3,4.0,bx0,5,4.16,0.46,bxi,,,,,,,,,16680822_0000_000,388
497,EV,1669,03,10,23,25,,Etna - Nicolosi,AZZCA015,MM,37.614,15.026,,7-8,bx,4.03,0.36,MIo,AZZCA015,3,7-8,37.614,15.026,,,bx0,7-8,4.03,0.36,IoV1,,,,,,,,,16690310_2325_000,389
498,EV,1669,03,11,06,,,Etna - Versante meridionale,AZZCA015,MM,37.605,15.019,,5-6,bx,2.91,0.30,MIo,AZZCA015,2,5-6,37.605,15.019,,,bxM,5-6,2.91,0.30,IoV1,,,,,,,,,16690311_0600_000,
499,EV,1669,03,11,13,,,Etna - Versante meridionale,AZZCA015,MM,37.614,15.026,,5-6,bx,2.91,0.30,MIo,AZZCA015,2,D,37.614,15.026,0.8,0.2,bx0,5-6,2.91,0.30,IoV1,,,,,,,,,16690311_1300_000,
500,EV,1669,03,13,20,,,Etna - Versante meridionale,AZZCA015,MM,37.613,15.166,,6,bx,3.19,0.31,MIo,AZZCA015,1,5,37.613,15.166,,,bx0,6,3.19,0.31,IoV1,,,,,,,,,16690313_2000_000,
501,MA,1669,09,01,03,,,Ljubljana,ZIVC009,PC,46.080,14.530,,6,pc,4.63,0.46,MIo,,,,,,,,,,,,,,,,,,,,,16690901_0000_000,390
502,MA,1669,12,29,,,,Ljubljana,ZIVC009,PC,46.080,14.500,,5,pc,4.16,0.46,MIo,,,,,,,,,,,,,,,,,,,,,16691229_0000_000,
503,MA,1670,01,01,01,,,Ljubljana,ZIVC009,PC,45.950,14.330,,5-6,pc,4.40,0.46,MIo,,,,,,,,,,,,,,,,,,,,,16700101_0000_000,391
504,MA,1670,07,17,01,,,Tirol. Hall,HAMM015,MM,47.293,11.493,,8,bx,5.65,0.20,Mdm,HAMM015,29,HD,47.293,11.493,1.0,2.3,bx0,8,5.65,0.20,bxn,,,,,,,,,16700717_0100_000,392
505,MA,1671,06,20,10,,,Modenese-Reggiano,CFTI4med,MM,44.674,10.866,,7,bx,5.27,0.58,Mdm,CFTI4med,8,7,44.674,10.866,1.7,9.7,bx0,7,5.27,0.58,bxn,,,,,,,,,16710620_1000_000,393
506,MA,1672,04,14,15,45,,Riminese,CFTI4med,MM,43.941,12.576,,8,bx,5.59,0.11,Mdm,CFTI4med,92,8,43.941,12.576,2.2,0.7,bx0,8,5.59,0.11,bxn,,,,,,,,,16720414_1545_000,394
507,MA,1672,06,08,17,30,,Monti della Laga,CAMAL011b,MM,42.569,13.302,,7-8,bx,5.33,0.46,Mdm,CAMAL011b,10,HD,42.569,13.302,3.5,2.9,bx0,7-8,5.33,0.46,bxi,,,,,,,,,16720608_1730_000,395
508,MA,1675,11,,,,,Abruzzo,CAMAL011b,NP,,,,,,,,,CAMAL011b,1,HD,,,,,,,,,,,,,,,,,,16751100_0000_000,
509,MA,1677,03,,,,,Milazzo,CAMAL011b,NP,,,,,,,,,CAMAL011b,1,HD,,,,,,,,,,,,,,,,,,16770300_0000_000,
510,MA,1678,07,15,,,,Ferrara,CFTI4med,MM,44.835,11.620,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,44.835,11.620,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16780715_0000_000,
511,MA,1679,03,24,11,30,,Val d'Orcia,CAMAL011b,MM,43.136,11.665,,6-7,bx,4.86,0.46,Mdm,CAMAL011b,4,7,43.136,11.665,4.3,9.7,bx0,6-7,4.86,0.46,bxi,,,,,,,,,16790324_0000_000,396
512,MA,1680,04,30,11,,,Valle Scrivia,ENEL985,MM,44.688,8.803,,7,bx,5.10,0.46,Mdm,ENEL985,1,7,44.688,8.803,,,bx0,7,5.10,0.46,bxi,,,,,,,,,16800430_1100_000,397
513,MA,1683,05,25,,,,Valli Giudicarie,ALBAL994a,MM,46.025,10.864,,5-6,bx,4.40,0.46,Mdm,ALBAL994a,4,6-7,46.025,10.864,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16830525_0000_000,398
514,MA,1684,10,21,05,30,,Ljubljana,ZIVC009,PC,46.080,14.500,,7,pc,5.10,0.46,MIo,,,,,,,,,,,,,,,,,,,,,16841021_0530_000,399
515,MA,1685,03,08,19,,,Vallese. Mittelwallis,ECOS-09,PC,46.280,7.630,,7,pc,5.30,1.00,Mpc,,,,,,,,,,,,,,,,,,,,,16850308_1900_000,400
516,MA,1685,05,,,,,Penisola Sorrentina,CAMAL011b,MM,40.722,14.731,,5-6,bx,4.73,0.54,Mdm,CAMAL011b,5,5-6,40.722,14.731,4.2,1.4,bx0,5-6,4.73,0.54,bxn,,,,,,,,,16850500_0000_000,401
517,MA,1685,,,,,,Valle del Metauro,CAMAL011b,MM,43.662,12.541,,4-5,bx,3.93,0.46,Mdm,CAMAL011b,2,5-6,43.662,12.541,0.7,1.4,bx0,4-5,3.93,0.46,bxi,,,,,,,,,16850000_0000_000,
518,MA,1686,06,13,10,,,Palermo,MOLAL008,MM,38.115,13.362,,5,bx,4.16,0.46,Mdm,MOLAL008,1,5,38.115,13.362,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16860613_1000_000,403
519,MA,1686,,,,,,Ljubljana,ZIVC009,PC,46.000,14.500,,6,pc,4.63,0.46,MIo,,,,,,,,,,,,,,,,,,,,,16860000_0000_002,402
520,MA,1687,04,25,00,30,,Penisola Sorrentina,CAMAL011b,MM,40.628,14.485,,6,bx,4.63,0.46,Mdm,CAMAL011b,2,7,40.628,14.485,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16870425_0030_000,405
521,MA,1687,10,02,,,,Tropea,AMGNDT995,MM,38.675,15.899,,7,bx,5.10,0.46,Mdm,AMGNDT995,1,7,38.675,15.899,,,bx0,7,5.10,0.46,bxi,,,,,,,,,16871002_0000_000,406
522,MA,1688,01,14,,,,Benevento,MOLAL008,MM,41.131,14.778,,5,bx,4.16,0.46,Mdm,MOLAL008,1,5,41.131,14.778,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16880114_0000_000,407
523,MA,1688,04,11,12,20,,Romagna,CFTI4med,MM,44.390,11.942,,8-9,bx,5.84,0.24,Mdm,CFTI4med,39,9,44.390,11.942,2.0,3.3,bx0,8-9,5.84,0.24,bxn,,,,,,,,,16880411_1220_000,408
524,MA,1688,06,05,15,30,,Sannio,CFTI4med,MM,41.283,14.561,,11,bx,7.06,0.10,Mdm,CFTI4med,215,11,41.283,14.561,1.7,1.7,bx0,11,7.06,0.10,bxn,,,,,,,,,16880605_1530_000,409
525,MA,1688,07,20,,,,Pizzo Calabro,CAMAL011b,MM,38.733,16.159,,6,bx,4.63,0.46,Mdm,CAMAL011b,1,6,38.733,16.159,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16880720_0000_000,
526,MA,1688,07,23,,,,Capitanata,CAMAL008,MM,41.687,15.337,,7-8,bx,5.33,0.46,Mdm,CAMAL008,3,7-8,41.687,15.337,0.2,3.7,bx0,7-8,5.33,0.46,bxi,,,,,,,,,16880723_0000_000,410
527,MA,1688,08,14,,,,Beneventano,CAMAL011b,MM,41.208,14.669,,6-7,bx,4.86,0.46,Mdm,CAMAL011b,3,6-7,41.208,14.669,8.6,9.1,bx0,6-7,4.86,0.46,bxi,,,,,,,,,16880814_0000_000,
528,MA,1688,08,19,05,45,,Faentino,MOLAL008,MM,44.288,11.881,,5,bx,4.16,0.46,Mdm,MOLAL008,1,5,44.288,11.881,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16880819_0545_000,411
529,MA,1688,10,12,,,,Beneventano,CAMAL011b,MM,41.131,14.778,,5-6,bx,4.40,0.46,Mdm,CAMAL011b,1,5-6,41.131,14.778,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16881012_0000_000,
530,MA,1689,03,19,,,,Faentino,MOLAL008,MM,44.281,12.107,,4,bx,3.70,0.46,Mdm,MOLAL008,3,5,44.281,12.107,9.0,9.1,bx0,4,3.70,0.46,bxi,,,,,,,,,16890319_0000_000,412
531,MA,1689,04,,,,,Valle Umbra,CAMAL011b,MM,42.877,12.747,,6,bx,4.63,0.46,Mdm,CAMAL011b,2,D,42.877,12.747,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16890400_0000_000,
532,MA,1689,07,21,09,,,Reatino,CAMAL011b,MM,42.415,13.076,,5,bx,4.16,0.46,Mdm,CAMAL011b,1,5,42.415,13.076,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16890721_0900_000,
533,MA,1689,07,21,11,,,Reatino,CAMAL011b,MM,42.415,13.076,,7,bx,5.10,0.46,Mdm,CAMAL011b,1,7,42.415,13.076,,,bx0,7,5.10,0.46,bxi,,,,,,,,,16890721_1100_000,
534,MA,1689,09,21,,,,Costa pugliese centrale,AMGNDT995,MM,41.273,16.288,,6-7,bx,4.86,0.46,Mdm,AMGNDT995,3,7,41.273,16.288,5.2,0.8,bx0,6-7,4.86,0.46,bxi,,,,,,,,,16890921_0000_000,413
535,MA,1689,12,22,01,,,Tirol. Innsbruck,HAMM015,MM,47.263,11.566,,7-8,bx,5.33,0.53,MIo,HAMM015,8,HD,47.263,11.566,,,bxM,7-8,5.33,0.46,Io,,,,,,,,,16891222_0100_000,414
536,MA,1689,,,,,,Montefeltro,CAMAL011b,MM,43.664,12.411,,7,bx,5.10,0.46,Mdm,CAMAL011b,1,7,43.664,12.411,,,bx0,7,5.10,0.46,bxi,,,,,,,,,16890000_0000_001,
537,MA,1690,01,26,,,,Valle Umbra,CAMAL011b,MM,42.916,12.726,,6,bx,4.63,0.46,Mdm,CAMAL011b,3,6-7,42.916,12.726,4.3,1.8,bx0,6,4.63,0.46,bxi,,,,,,,,,16900126_0000_000,415
538,MA,1690,02,03,02,30,,Valle Umbra,CAMAL011b,MM,42.955,12.704,,5-6,bx,4.40,0.46,Mdm,CAMAL011b,1,5-6,42.955,12.704,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16900203_0230_000,
539,MA,1690,03,22,21,50,,Alta Valtiberina,CFTI4med,MM,43.457,12.239,,6-7,bx,4.86,0.46,Mdm,CFTI4med,1,6-7,43.457,12.239,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,16900322_2150_000,416
540,MA,1690,05,04,,,,Belluno,CAMA001b,MM,46.139,12.218,,5-6,bx,4.40,0.46,Mdm,CAMA001b,1,5-6,46.139,12.218,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16900504_0000_000,417
541,MA,1690,12,04,14,,,Carinthia. Villach,CFTI4med,MM,46.633,13.880,,8-9,bx,6.16,0.16,Mdm,CFTI4med,60,8-9,46.633,13.880,1.6,2.3,bx0,8-9,6.16,0.16,bxn,,,,,,,,,16901204_1400_000,418
542,MA,1690,12,23,00,20,,Costa anconetana,CFTI4med,MM,43.550,13.594,,8,bx,5.58,0.30,Mdm,CFTI4med,16,8-9,43.550,13.594,2.7,2.2,bx0,8,5.58,0.30,bxn,,,,,,,,,16901223_0020_000,419
543,MA,1691,02,19,,,,Ljubljana,CFTI4med,MM,46.088,14.453,,7-8,bx,5.33,0.46,Mdm,CFTI4med,6,7-8,46.088,14.453,4.2,2.0,bx0,7-8,5.33,0.46,bxi,,,,,,,,,16910219_0000_000,420
544,MA,1691,09,26,,,,Tavoliere delle Puglie,MOLAL008,MM,41.264,15.898,,5,bx,4.16,0.46,Mdm,MOLAL008,1,5,41.264,15.898,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16910926_0000_000,422
545,MA,1691,12,10,,,,Ljubljana,HERA995,PC,46.200,14.500,,7-8,pc,5.33,0.46,MIo,,,,,,,,,,,,,,,,,,,,,16911210_0000_000,
546,MA,1692,03,04,22,20,,Irpinia,CAMAL011b,MM,40.903,15.196,,8,bx,5.88,0.36,Mdm,CAMAL011b,9,8,40.903,15.196,7.2,19.0,bx0,8,5.88,0.36,bxn,,,,,,,,,16920304_2220_000,
547,MA,1692,10,23,20,10,,Costa pesarese,CFTI4med,MM,43.837,13.018,,5,bx,4.16,0.46,Mdm,CFTI4med,2,6,43.837,13.018,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16921023_2010_000,423
548,MA,1693,01,08,,,,Pollino,TERCU014,MM,39.873,16.157,,7,bx,5.27,0.39,Mdm,TERCU014,16,7,39.873,16.157,9.4,7.7,bx0,7,5.27,0.39,bxn,,,,,,,,,16930108_2215_000,424
549,MA,1693,01,09,21,,,Sicilia sud-orientale,CFTI4med,MM,37.141,15.035,,8-9,bx,6.07,0.23,Mdm,CFTI4med,30,8-9,37.141,15.035,9.8,5.5,bx0,8-9,6.07,0.23,bxn,,,,,,,,,16930109_2100_000,425
550,MA,1693,01,11,08,,,Sicilia sud-orientale,CFTI4med,NP,,,,,,,,,CFTI4med,8,5-6,,,,,,,,,,,,,,,,,,16930111_0800_000,426
551,MA,1693,01,11,13,30,,Sicilia sud-orientale,CFTI4med,MM,37.140,15.013,,11,bx,7.32,0.10,Mdm,CFTI4med,179,11,37.140,15.013,5.5,15.7,bx0,11,7.32,0.10,bxn,,,,,,,,,16930111_1330_000,427
552,MA,1693,02,22,08,30,,Alta Valtiberina,CAMAL011b,MM,43.442,12.436,,5,bx,4.16,0.46,Mdm,CAMAL011b,2,6,43.442,12.436,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16930224_0345_000,429
553,MA,1693,02,23,,,,Modica,BOSGU001,MM,36.858,14.761,,6,bx,4.63,0.46,Mdm,BOSGU001,1,6,36.858,14.761,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16930223_0000_000,428
554,MA,1693,03,24,,,,Lazio-Molise,CAMAL011b,MM,41.652,13.922,,6-7,bx,5.22,0.51,Mdm,CAMAL011b,6,6-7,41.652,13.922,7.2,16.0,bx0,6-7,5.22,0.51,bxn,,,,,,,,,16930324_0000_000,430
555,MA,1693,04,01,07,50,,Ionio meridionale,BOSGU001,MM,37.587,15.309,,6,bx,4.63,0.46,Mdm,BOSGU001,4,6,37.587,15.309,36.0,11.9,bx0,6,4.63,0.46,bxi,,,,,,,,,16930401_0750_000,431
556,MA,1693,04,17,19,,,Sicilia sud-orientale,BOSGU001,MM,36.858,14.761,,5,bx,4.16,0.46,Mdm,BOSGU001,4,D,36.858,14.761,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16930417_1900_000,432
557,MA,1693,05,12,13,20,,Modica,BOSGU001,MM,36.858,14.761,,6,bx,4.63,0.46,Mdm,BOSGU001,2,7,36.858,14.761,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16930512_1320_000,433
558,MA,1693,05,27,05,,,Sicilia orientale,BOSGU001,NP,,,,,,,,,BOSGU001,1,SD,,,,,,,,,,,,,,,,,,16930527_0500_000,434
559,MA,1693,07,06,09,15,,Mantovano,ENEL985,MM,45.280,10.644,,7,bx,5.23,0.50,Mdm,ENEL985,13,7,45.280,10.644,3.7,2.8,bx0,7,5.23,0.50,bxn,,,,,,,,,16930706_0915_000,435
560,MA,1693,07,08,17,50,,Sicilia sud-orientale,BOSGU001,MM,37.216,15.081,,6,bx,4.93,0.52,Mdm,BOSGU001,7,6,37.216,15.081,14.9,9.2,bx0,6,4.93,0.52,bxn,,,,,,,,,16930708_1750_000,436
561,MA,1693,10,12,,,,Bacino di Gubbio,CAMAL011b,MM,43.351,12.577,,5,bx,4.16,0.46,Mdm,CAMAL011b,2,HF,43.351,12.577,,,bx0,5,4.16,0.46,bxi,,,,,,,,,16931012_0000_000,
562,MA,1693,10,15,,,,Bacino di Gubbio,CASAL016,MM,43.282,12.635,,6-7,bx,4.85,0.65,Mdm,CASAL016,6,7,43.282,12.635,2.7,0.9,bx0,6-7,4.85,0.65,bxn,,,,,,,,,16931015_1530_000,
563,MA,1694,01,,,,,Bacino di Gubbio,CAMAL011b,MM,43.351,12.577,,6,bx,4.63,0.46,Mdm,CAMAL011b,3,7,43.351,12.577,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16940100_0000_000,
564,MA,1694,04,08,,,,Alta Valtiberina,CAMAL011b,MM,43.620,12.091,,7-8,bx,5.40,0.30,Mdm,CAMAL011b,6,7-8,43.620,12.091,5.6,4.0,bx0,7-8,5.40,0.30,bxn,,,,,,,,,16940408_1015_000,437
565,MA,1694,05,16,,,,Sicilia orientale,BOSGU001,MM,37.558,15.127,,5-6,bx,4.40,0.46,Mdm,BOSGU001,7,6-7,37.558,15.127,6.2,15.1,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16940516_0000_000,438
566,MA,1694,09,08,11,40,,Irpinia-Basilicata,CFTI4med,MM,40.862,15.406,,10,bx,6.73,0.10,Mdm,CFTI4med,251,10,40.862,15.406,3.5,3.8,bx0,10,6.73,0.10,bxn,,,,,,,,,16940908_1140_000,439
567,MA,1694,10,07,15,,,Penisola sorrentina,CAMAL011b,MM,40.669,14.453,,5-6,bx,4.71,0.32,Mdm,CAMAL011b,9,5-6,40.669,14.453,2.5,3.7,bx0,5-6,4.71,0.32,bxn,,,,,,,,,16941007_1500_000,
568,MA,1694,10,09,,,,Avellino,CAMAL011b,MM,40.914,14.793,,5-6,bx,4.40,0.46,Mdm,CAMAL011b,2,6-7,40.914,14.793,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16941009_0000_000,
569,MA,1695,02,25,05,30,,Asolano,CAMAL012,MM,45.861,11.910,,10,bx,6.40,0.10,Mdm,CAMAL012,107,10,45.861,11.910,2.0,0.7,bx0,10,6.40,0.10,bxn,,,,,,,,,16950225_0530_000,440
570,MA,1695,02,28,,,,Ferrara,AMGNDT995,MM,44.835,11.620,,5-6,bx,4.40,0.46,Mdm,AMGNDT995,1,5-6,44.835,11.620,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16950228_0000_000,441
571,MA,1695,06,11,02,30,,Lazio settentrionale,ENEL995,MM,42.613,12.110,,8-9,bx,5.80,0.15,Mdm,ENEL995,50,9,42.613,12.110,2.1,0.8,bx0,8-9,5.80,0.15,bxn,,,,,,,,,16950611_0220_000,442
572,MA,1695,09,11,,,,Grigioni. Region Praettigau,ECOS-09,PC,46.880,9.670,,6,pc,5.00,1.00,Mpc,,,,,,,,,,,,,,,,,,,,,16950911_0000_000,443
573,MA,1696,04,20,12,,,Sicilia sud-orientale,BOSGU001,MM,36.858,14.761,,5-6,bx,4.40,0.46,Mdm,BOSGU001,2,6-7,36.858,14.761,,,bxM,5-6,4.40,0.46,bxi,,,,,,,,,16960420_1200_000,444
574,MA,1697,02,01,20,,,Calabria centrale,CAMAL011b,MM,39.019,16.337,,5-6,bx,4.40,0.46,Mdm,CAMAL011b,2,5-6,39.019,16.337,12.6,22.2,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16970201_2000_000,
575,MA,1697,06,18,,,,Val di Pesa,MOLAL008,MM,43.670,11.090,,5-6,bx,4.40,0.46,Mdm,MOLAL008,2,6-7,43.670,11.090,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16970618_0000_000,445
576,MA,1697,09,20,15,50,,Siena,CFTI4med,MM,43.318,11.332,,5-6,bx,4.40,0.46,Mdm,CFTI4med,2,5-6,43.318,11.332,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16970920_1550_000,446
577,MA,1697,09,20,16,50,,Siena,CFTI4med,MM,43.318,11.332,,6-7,bx,4.86,0.46,Mdm,CFTI4med,2,6-7,43.318,11.332,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,16970920_1650_000,447
578,MA,1697,09,30,12,15,,Siena,CFTI4med,MM,43.318,11.332,,6-7,bx,4.86,0.46,Mdm,CFTI4med,2,6-7,43.318,11.332,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,16970930_1215_000,448
579,MA,1697,10,01,,,,Siena,CFTI4med,MM,43.318,11.332,,6,bx,4.63,0.46,Mdm,CFTI4med,2,6,43.318,11.332,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16971001_0000_000,449
580,MA,1697,10,28,01,,,Siena,CFTI4med,MM,43.318,11.332,,6,bx,4.63,0.46,Mdm,CFTI4med,2,6,43.318,11.332,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16971028_0100_000,450
581,MA,1697,12,20,19,45,,Siena,CFTI4med,MM,43.318,11.332,,6,bx,4.63,0.46,Mdm,CFTI4med,2,6,43.318,11.332,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16971220_1945_000,451
582,MA,1698,01,01,,,,Monti Iblei settentrionali,BARAL001,MM,37.292,14.789,,7-8,bx,5.66,0.35,Mdm,BARAL001,6,7-8,37.292,14.789,8.2,10.3,bx0,7-8,5.66,0.35,bxn,,,,,,,,,16980101_0000_000,452
583,MA,1698,12,,,,,Anconetano,CAMAL011b,MM,43.619,13.513,,6,bx,4.63,0.46,Mdm,CAMAL011b,2,7,43.619,13.513,,,bx0,6,4.63,0.46,bxi,,,,,,,,,16981200_0000_000,
584,MA,1699,05,07,,,,Viterbese,CAMAL011b,MM,42.416,12.107,,4,bx,3.70,0.46,Mdm,CAMAL011b,2,F,42.416,12.107,,,bx0,4,3.70,0.46,bxi,,,,,,,,,16990507_0000_000,454
585,MA,1699,05,09,,,,Viterbese,CAMAL011b,MM,42.388,12.177,,5-6,bx,4.40,0.46,Mdm,CAMAL011b,4,6-7,42.388,12.177,9.5,6.2,bx0,5-6,4.40,0.46,bxi,,,,,,,,,16990509_0000_000,
586,MA,1699,,,,,,Matese,MOLAL008,MM,41.527,13.837,,3-4,bx,3.46,0.46,Mdm,MOLAL008,2,4-5,41.527,13.837,22.1,41.1,bx0,3-4,3.46,0.46,bxi,,,,,,,,,16990000_0000_001,453
587,MA,1700,02,05,,,,Val d'Orcia,CAMAL011b,MM,42.871,11.668,,6-7,bx,4.86,0.46,Mdm,CAMAL011b,4,7-8,42.871,11.668,2.8,8.2,bx0,6-7,4.86,0.46,bxi,,,,,,,,,17000205_0000_000,
588,MA,1700,07,28,,,,Carnia,AMGNDT995,MM,46.433,12.868,,8-9,bx,5.70,0.48,Mdm,AMGNDT995,28,9,46.433,12.868,1.2,0.5,bx0,8-9,5.70,0.48,bxn,,,,,,,,,17000728_0000_000,455
589,MA,1702,03,14,04,30,,Sannio-Irpinia,CFTI4med,MM,41.131,14.778,,6-7,bx,4.86,0.46,Mdm,CFTI4med,4,7-8,41.131,14.778,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,17020314_0430_000,456
590,MA,1702,03,14,05,,,Sannio-Irpinia,CFTI4med,MM,41.120,14.989,,10,bx,6.56,0.11,Mdm,CFTI4med,37,10,41.120,14.989,3.1,3.1,bx0,10,6.56,0.11,bxn,,,,,,,,,17020314_0500_000,457
591,MA,1702,04,02,06,20,,Sannio-Irpinia,CFTI4med,MM,41.131,14.778,,6-7,bx,4.86,0.46,Mdm,CFTI4med,4,7-8,41.131,14.778,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,17020402_0620_000,458
592,MA,1702,04,06,16,55,,Sannio-Irpinia,CFTI4med,MM,41.131,14.778,,6-7,bx,4.86,0.46,Mdm,CFTI4med,1,6-7,41.131,14.778,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,17020406_1655_000,459
593,MA,1702,10,18,,,,Valnerina,MOLAL008,MM,42.755,13.053,,5,bx,4.16,0.46,Mdm,MOLAL008,5,6,42.755,13.053,4.2,3.3,bx0,5,4.16,0.46,bxi,,,,,,,,,17021018_0000_000,460
594,MA,1702,11,14,,,,Valnerina,MOLAL008,MM,42.837,12.858,,5-6,bx,4.40,0.46,Mdm,MOLAL008,2,6-7,42.837,12.858,13.2,12.6,bx0,5-6,4.40,0.46,bxi,,,,,,,,,17021114_0000_000,461
595,MA,1703,01,14,18,,,Valnerina,CFTI4med,MM,42.708,13.071,,11,bx,6.92,0.10,Mdm,CFTI4med,197,11,42.708,13.071,2.8,1.0,bx0,11,6.92,0.10,bxn,,,,,,,,,17030114_1800_000,462
596,MA,1703,01,16,13,30,,Appennino laziale-abruzzese,CFTI4med,NP,,,,,,,,,CFTI4med,22,8,,,,,,,,,,,,,,,,,,17030116_1330_000,463
597,MA,1703,02,02,11,05,,Aquilano,CFTI4med,MM,42.434,13.292,,10,bx,6.67,0.11,Mdm,CFTI4med,69,10,42.434,13.292,6.2,11.2,bx0,10,6.67,0.11,bxn,,,,,,,,,17030202_1105_000,464
