N,Sect,Year,Mo,Da,Ho,Mi,Se,EpicentralArea,MainRef,TLDef,LatDef,LonDef,DepDef,IoDef,TIoDef,MwDef,ErMwDef,TMwDef,RefM,MdpN,Imax,LatM,LonM,ErrLatM,ErrLonM,TepiM,Io,MwM,ErMwM,TMwM,RefIns,LatIns,LonIns,DepIns,MwIns,ErMwIns,TMwIns,RefMwIns,EqID,CPTI11id
3738,MA,1994,04,22,20,03,55.80,Costa croata settentrionale,HERA995,PC,45.066,14.850,,5,pc,4.16,0.19,InsC,,,,,,,,,,,,,,,,,4.16,0.19,Pry_ml,CSTI1.1,19940422_2003_000,
3739,MA,1994,05,06,19,09,49.28,Sicilia centrale,CSTI1.1,IM,37.651,14.189,3.4,5,bx,4.36,0.09,Wmim,BMING998d,68,5,37.761,14.030,5.1,3.1,bx0,5,4.21,0.15,bxn,CSTI1.1,37.651,14.189,3.4,4.47,0.12,Pry_mlmsmb,CSTI1.1.ISC,19940506_1909_000,2859
3740,MA,1994,06,02,16,41,23.61,Aquilano,CSTI1.1,IM,42.463,13.221,3.8,4-5,bx,3.99,0.10,Wmim,BMING998d,60,5,42.428,13.284,3.3,4.9,bx0,4-5,4.03,0.16,bxn,CSTI1.1,42.463,13.221,3.8,3.97,0.14,Pry_mlmsmb,CSTI1.1.ISC,19940602_1641_000,
3741,MA,1994,06,02,17,38,13.82,Aquilano,CSTI1.1,IM,42.476,13.226,0.1,5,bx,4.21,0.13,Wmim,BMING998d,106,5,42.445,13.297,5.2,4.9,bx0,5,4.16,0.17,bxn,CSTI1.1,42.476,13.226,0.0,4.29,0.21,Pry_ml,CSTI1.1,19940602_1738_000,2860
3742,MA,1994,07,23,20,57,31.84,Monti Peloritani,ISC,II,38.172,15.168,5.0,,,4.71,0.33,InsC,,,,,,,,,,,,,ISC,38.172,15.168,5.0,4.71,0.33,Pry_ml,CSTI1.1,19940723_2056_000,
3743,MA,1994,08,05,22,01,23.47,Val Roveto,CSTI1.1,IM,41.959,13.331,3.2,5-6,bx,4.15,0.11,Wmim,BMING998d,81,5-6,41.947,13.390,2.4,2.4,bx0,5-6,4.27,0.14,bxn,CSTI1.1,41.959,13.331,3.3,3.91,0.21,Pry_ml,CSTI1.1,19940805_2201_000,
3744,MA,1994,08,07,06,31,12.68,Val Roveto,CSTI1.1,IM,41.993,13.347,9.9,5-6,bx,4.25,0.10,Wmim,BMING998d,103,6,41.938,13.405,3.3,3.3,bx0,5-6,4.28,0.15,bxn,CSTI1.1,41.993,13.347,10.0,4.22,0.16,Pry_ml,CSTI1.1,19940807_0631_000,2861
3745,MA,1994,08,09,21,29,28.08,Stretto di Sicilia,ISC,II,36.215,12.895,39.9,,,4.86,0.21,InsC,,,,,,,,,,,,,ISC,36.215,12.895,39.9,4.86,0.21,Pry_ml,CSTI1.1,19940809_2129_000,2862
3746,MA,1994,10,12,04,59,13.98,Tirreno meridionale,ISC,II,39.748,15.394,17.0,,,4.57,0.11,InsC,BMING999a,32,5,,,,,,,,,,ISC,39.748,15.394,17.0,4.57,0.11,Pry_mlmsmb,CSTI1.1.ISC,19941012_0459_000,2863
3747,MA,1994,10,24,23,22,47.70,Val Lagarina,OGS-BFVG,IM,45.936,11.213,3.7,5,bx,4.15,0.10,Wmim,BMING999a,75,5,45.975,11.136,5.3,4.1,bx0,5,4.19,0.14,bxn,OGS-BFVG,45.936,11.213,3.7,4.12,0.16,Pry_ml,CSTI1.1,19941024_2322_000,2864
